,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name,Origin,Destination
13,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:05,06:00,06h 55m,325.0,40 Seats available,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
14,FRESHBUS,Electric A/C Seater (2+2),22:50,05:20,06h 30m,450.0,35 Seats available,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
15,NueGo,Electric A/C Seater (2+2),16:00,23:00,07h 00m,332.0,33 Seats available,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
16,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:05,05:20,06h 15m,333.0,42 Seats available,4.6,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
17,Svkdt travels,A/C Seater / Sleeper (2+1),23:35,05:30,05h 55m,479.0,33 Seats available,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
18,NueGo,Electric A/C Seater (2+2),08:05,12:20,04h 15m,379.0,20 Seats available,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
19,FRESHBUS,Electric A/C Seater (2+2),13:05,19:25,06h 20m,450.0,40 Seats available,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
20,NueGo,Electric A/C Seater/Sleeper (2+1),22:00,05:10,07h 10m,332.0,30 Seats available,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
21,FRESHBUS,Electric A/C Seater (2+2),12:25,19:05,06h 40m,450.0,41 Seats available,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
22,Svkdt travels,A/C Sleeper (2+1),23:35,05:50,06h 15m,549.0,18 Seats available,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
23,NueGo,Electric A/C Seater (2+2),12:00,18:25,06h 25m,332.0,36 Seats available,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
24,NueGo,Electric A/C Seater/Sleeper (2+1),23:00,06:00,07h 00m,332.0,33 Seats available,4.2,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
25,Sri KVR Travels,A/C Sleeper (2+1),23:35,05:15,05h 40m,499.0,25 Seats available,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
26,NueGo,Electric A/C Seater (2+2),21:30,04:20,06h 50m,332.0,29 Seats available,4.2,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
27,Sri Durga Malleswari Travels,A/C Sleeper (2+1),23:10,05:25,06h 15m,609.0,21 Seats available,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
28,NueGo,Electric A/C Seater (2+2),22:35,05:15,06h 40m,341.0,31 Seats available,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
