Origin
Kadapa
Kottayam
Siliguri
Dehradun
Dalhousie
Thiruvananthapuram
Aligarh (uttar pradesh)
Beawar (Rajasthan)
Berhampore (West Bengal)
Eluru
Bettiah
Tezpur
Patna (Bihar)
Kakinada
Bangalore
Dinanagar (punjab)
Kodad
Ludhiana
Hisar (Haryana)
Kangra
Kothagudem
Biswanath Charali
Midnapore
Delhi
Sujanpur (himachal pradesh)
Rajahmundry
Haflong
Kishangarh
Jammu (j and k)
Kadiri
Ernakulam
Motihari
Narnaul
Jorhat
Rishikesh
Coimbatore
Baddi (Himachal Pradesh)
Haldia
Muzaffarpur (Bihar)
Shimla
Darbhanga
Hyderabad
Visakhapatnam
Jagityal
Palampur
Anantapur (andhra pradesh)
Kozhikode
Burdwan
Talwara
Chittoor (Andhra Pradesh)
Kota(Rajasthan)
Asansol (West Bengal)
Kurnool
Chandigarh
Sibsagar
Dhemaji
Manali
Dhubri
Bolpur (West Bengal)
Purnea
Guwahati
Karimnagar
Agra
Godavarikhani
Kalpetta (kerala)
Dharamshala (Himachal Pradesh)
Digha
North Lakhimpur
Hamirpur (Himachal Pradesh)
Kullu
Ghumarwin
Nellore
Amritsar
Bikaner
Guntur (Andhra Pradesh)
Mysore
Ongole
Lucknow
Madanapalli
Kolkata
Silchar
Vinukonda
Durgapur (West Bengal)
Barasat (West Bengal)
Pali (Rajasthan)
Purulia
Tinsukia
Thrissur
Amalapuram
Jodhpur
Yamuna Nagar
Gopalganj (Bihar)
Rayachoti
Balmiki Nagar (bihar)
Vijayawada
Nagaon (Assam)
Pathankot
Vrindavan
Rohtak
Gohpur
Jaipur (Rajasthan)
Jawala Ji
Ranchi
Moran
Chamba (Himachal Pradesh)
Chennai
Jhargram
Khammam
Katra (jammu and kashmir)
Narasaraopet
Macherla (andhra pradesh)
Sikar
Bokakhat
Dhekiajuli
Udaipur
Suri
Goalpara
Hazaribagh
Haridwar
Solan
Habra
Dibrugarh
Kannur
Tirupati
