Origin
Amritsar
Gohpur
Visakhapatnam
Anantapur (andhra pradesh)
Ghumarwin
Jorhat
Jhargram
Manali
Guntur (Andhra Pradesh)
Thrissur
Kozhikode
Chennai
Mysore
Sikar
Dinanagar (punjab)
Madanapalli
Ongole
Khammam
Chittoor (Andhra Pradesh)
Muzaffarpur (Bihar)
Durgapur (West Bengal)
Narnaul
Dalhousie
Amalapuram
Haflong
Ernakulam
Hisar (Haryana)
Narasaraopet
Thiruvananthapuram
Kothagudem
Rishikesh
Tinsukia
Shimla
Hyderabad
Hamirpur (Himachal Pradesh)
Delhi
Haridwar
Kolkata
Siliguri
Kodad
Bangalore
Kota(Rajasthan)
Kottayam
Solan
Rayachoti
Kishangarh
Bettiah
Purnea
Jodhpur
Moran
Pathankot
Ludhiana
Vrindavan
Jaipur (Rajasthan)
Agra
Kadiri
Motihari
Digha
Pali (Rajasthan)
Macherla (andhra pradesh)
Goalpara
Eluru
Sujanpur (himachal pradesh)
Chandigarh
Jammu (j and k)
Darbhanga
Tezpur
Katra (jammu and kashmir)
North Lakhimpur
Bikaner
Jagityal
Bokakhat
Baddi (Himachal Pradesh)
Palampur
Lucknow
Haldia
Patna (Bihar)
Dharamshala (Himachal Pradesh)
Yamuna Nagar
Vinukonda
Rajahmundry
Purulia
Gopalganj (Bihar)
Udaipur
Vijayawada
Kangra
Dhekiajuli
Talwara
Ranchi
Kannur
Beawar (Rajasthan)
Nagaon (Assam)
Coimbatore
Hazaribagh
Jawala Ji
Nellore
Sibsagar
Silchar
Guwahati
Burdwan
Midnapore
Karimnagar
Dibrugarh
Godavarikhani
Suri
Balmiki Nagar (bihar)
Biswanath Charali
Barasat (West Bengal)
Kullu
Bolpur (West Bengal)
Kalpetta (kerala)
Dehradun
Kakinada
Dhemaji
Tirupati
Chamba (Himachal Pradesh)
Kadapa
Asansol (West Bengal)
Rohtak
Berhampore (West Bengal)
Habra
Kurnool
Dhubri
Aligarh (uttar pradesh)
